title,rating,year
"1.
      The Shawshank Redemption
(1994)",9.2,(1994)
"2.
      The Godfather
(1972)",9.2,(1972)
"3.
      The Dark Knight
(2008)",9.0,(2008)
"4.
      The Godfather Part II
(1974)",9.0,(1974)
"5.
      12 Angry Men
(1957)",9.0,(1957)
"6.
      Schindler's List
(1993)",8.9,(1993)
"7.
      The Lord of the Rings: The Return of the King
(2003)",8.9,(2003)
"8.
      Pulp Fiction
(1994)",8.8,(1994)
"9.
      The Lord of the Rings: The Fellowship of the Ring
(2001)",8.8,(2001)
"10.
      Il buono, il brutto, il cattivo
(1966)",8.8,(1966)
"11.
      Forrest Gump
(1994)",8.8,(1994)
"12.
      Fight Club
(1999)",8.7,(1999)
"13.
      The Lord of the Rings: The Two Towers
(2002)",8.7,(2002)
"14.
      Inception
(2010)",8.7,(2010)
"15.
      Star Wars: Episode V - The Empire Strikes Back
(1980)",8.7,(1980)
"16.
      The Matrix
(1999)",8.7,(1999)
"17.
      GoodFellas
(1990)",8.7,(1990)
"18.
      One Flew Over the Cuckoo's Nest
(1975)",8.6,(1975)
"19.
      Se7en
(1995)",8.6,(1995)
"20.
      It's a Wonderful Life
(1946)",8.6,(1946)
"21.
      Shichinin no samurai
(1954)",8.6,(1954)
"22.
      The Silence of the Lambs
(1991)",8.6,(1991)
"23.
      Saving Private Ryan
(1998)",8.6,(1998)
"24.
      Cidade de Deus
(2002)",8.6,(2002)
"25.
      Interstellar
(2014)",8.6,(2014)
"26.
      La vita è bella
(1997)",8.6,(1997)
"27.
      The Green Mile
(1999)",8.6,(1999)
"28.
      Star Wars
(1977)",8.5,(1977)
"29.
      Terminator 2: Judgment Day
(1991)",8.5,(1991)
"30.
      Back to the Future
(1985)",8.5,(1985)
"31.
      Sen to Chihiro no kamikakushi
(2001)",8.5,(2001)
"32.
      The Pianist
(2002)",8.5,(2002)
"33.
      Psycho
(1960)",8.5,(1960)
"34.
      Gisaengchung
(2019)",8.5,(2019)
"35.
      Léon
(1994)",8.5,(1994)
"36.
      Gladiator
(2000)",8.5,(2000)
"37.
      The Lion King
(1994)",8.5,(1994)
"38.
      American History X
(1998)",8.5,(1998)
"39.
      The Departed
(2006)",8.5,(2006)
"40.
      Whiplash
(2014)",8.5,(2014)
"41.
      The Prestige
(2006)",8.5,(2006)
"42.
      The Usual Suspects
(1995)",8.5,(1995)
"43.
      Casablanca
(1942)",8.5,(1942)
"44.
      Hotaru no haka
(1988)",8.5,(1988)
"45.
      Seppuku
(1962)",8.5,(1962)
"46.
      The Intouchables
(2011)",8.5,(2011)
"47.
      Modern Times
(1936)",8.4,(1936)
"48.
      Once Upon a Time in the West
(1968)",8.4,(1968)
"49.
      Nuovo Cinema Paradiso
(1988)",8.4,(1988)
"50.
      Rear Window
(1954)",8.4,(1954)
"51.
      Alien
(1979)",8.4,(1979)
"52.
      City Lights
(1931)",8.4,(1931)
"53.
      Apocalypse Now
(1979)",8.4,(1979)
"54.
      Memento
(2000)",8.4,(2000)
"55.
      Django Unchained
(2012)",8.4,(2012)
"56.
      Raiders of the Lost Ark
(1981)",8.4,(1981)
"57.
      WALL·E
(2008)",8.4,(2008)
